#-----------------------------------------------------------------------------
# Date d'extraction : 31/08/2021 - 07h58 loc.
#-----------------------------------------------------------------------------
# Producteur : DSM
# Experience : IFM2009
# Modele     : ARPEGE_V4_CNRM (SST_CNRM)
# Scenario :
#     A2 : scenario pessimiste
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORIFM : Indicateur feux de for�t
#     NORIFM20 : Indicateur feux de for�t nbj sup � 20
#     NORIFM40 : Indicateur feux de for�t nbj sup � 40
#     NORIFM60 : Indicateur feux de for�t nbj sup � 60
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORIFM;NORIFM20;NORIFM40;NORIFM60;
2209;42.6361;1.996;A2;H1;2.64;2.75;0;0;
2210;42.6363;2.0933;A2;H1;4.54;14.25;2.55;0.3;
2211;42.6365;2.1906;A2;H1;2.96;4.35;0.2;0;
2212;42.6366;2.2879;A2;H1;4.87;12;0.2;0;
2213;42.6366;2.3852;A2;H1;6.37;20.9;0.6;0.05;
2214;42.6365;2.4825;A2;H1;9.3;46.2;5.5;0.45;
2215;42.6363;2.5798;A2;H1;11.04;61.75;10.45;1.9;
2216;42.6361;2.6771;A2;H1;11.86;70.2;12.65;2.5;
2217;42.6357;2.7744;A2;H1;21.24;158.15;53.25;18.5;
2218;42.6353;2.8717;A2;H1;22.75;166.25;61.2;21.8;
2219;42.6347;2.969;A2;H1;24.52;181.35;69.55;26.2;
2278;42.4462;8.6957;A2;H1;12.43;77.7;17.35;5.55;
2279;42.4404;8.7924;A2;H1;8.79;46.35;6.75;1.05;
2280;42.4344;8.889;A2;H1;4.16;8.8;0.05;0;
2281;42.4284;8.9856;A2;H1;4.4;10.6;0.15;0;
2282;42.4223;9.0822;A2;H1;5.06;15.8;1;0;
2283;42.4161;9.1788;A2;H1;8.55;40.65;2.35;0.1;
2284;42.4098;9.2753;A2;H1;5.61;18.3;0.3;0;
2285;42.4034;9.3719;A2;H1;7.12;31.15;1.2;0.05;
2286;42.397;9.4684;A2;H1;9.24;50.85;2.5;0.05;
2336;42.6915;0.4373;A2;H1;2.57;0.85;0;0;
2337;42.6932;0.5346;A2;H1;2.18;0.5;0;0;
2338;42.6948;0.632;A2;H1;1.74;0.7;0;0;
2346;42.7044;1.4111;A2;H1;2.79;4.7;0.05;0;
2347;42.7052;1.5086;A2;H1;2.82;5.3;0.15;0;
2348;42.706;1.606;A2;H1;2.62;3.8;0;0;
2349;42.7066;1.7034;A2;H1;2.74;4.65;0;0;
2350;42.7071;1.8008;A2;H1;3.19;7.3;0.15;0;
2351;42.7076;1.8982;A2;H1;2.95;6.25;0.05;0;
2352;42.7079;1.9956;A2;H1;2.64;4.25;0;0;
2353;42.7082;2.093;A2;H1;3.97;10.6;0;0;
2354;42.7084;2.1905;A2;H1;3.36;7.6;0.05;0;
2355;42.7085;2.2879;A2;H1;3.63;9.1;0.1;0;
2356;42.7085;2.3853;A2;H1;5.82;21;0.2;0;
2357;42.7084;2.4827;A2;H1;10.4;68.5;9.15;0.4;
2358;42.7082;2.5801;A2;H1;12.42;86.55;16.2;2.2;
2359;42.7079;2.6775;A2;H1;14.36;102.55;22.35;3.8;
2360;42.7076;2.775;A2;H1;20.89;155.85;51.2;17.6;
2361;42.7071;2.8724;A2;H1;23.2;169.6;63.55;22.75;
2362;42.7066;2.9698;A2;H1;24.2;175.95;69.2;25.25;
2421;42.5178;8.7036;A2;H1;12.61;79.55;17.05;5.15;
2422;42.512;8.8003;A2;H1;12.38;84;15.1;3.15;
2423;42.506;8.8971;A2;H1;6.82;28.1;1.9;0.1;
2424;42.5;8.9938;A2;H1;5.37;18.65;1.4;0.05;
2425;42.4939;9.0905;A2;H1;6.7;28.65;1.9;0.1;
2426;42.4877;9.1872;A2;H1;7.29;30.35;1.95;0.05;
2427;42.4814;9.2839;A2;H1;8.25;38.3;2.15;0.05;
2428;42.475;9.3805;A2;H1;7.9;37.85;1.35;0;
2429;42.4685;9.4772;A2;H1;10.12;60.25;3.3;0.35;
2474;42.7535;-0.0524;A2;H1;2.02;0.8;0;0;
2475;42.7557;0.045;A2;H1;1.98;1.25;0.15;0;
2476;42.7577;0.1425;A2;H1;2.18;0.7;0;0;
2477;42.7597;0.24;A2;H1;2.26;3.05;0.25;0;
2478;42.7616;0.3374;A2;H1;1.91;1.45;0.15;0;
2479;42.7634;0.4349;A2;H1;2.25;1.95;0.05;0;
2480;42.765;0.5324;A2;H1;2.13;2.7;0;0;
2481;42.7667;0.6299;A2;H1;2.47;5.5;0.15;0;
2484;42.7709;0.9224;A2;H1;2;0.45;0;0;
2486;42.7733;1.1174;A2;H1;2.02;1.9;0.05;0;
