#-----------------------------------------------------------------------------
# Date d'extraction : 31/08/2021 - 07h56 loc.
#-----------------------------------------------------------------------------
# Producteur : DSM
# Experience : IFM2009
# Modele     : ARPEGE_V4_CNRM (SST_CNRM)
# Scenario :
#     A1B : Sc�nario interm�diaire
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORIFM : Indicateur feux de for�t
#     NORIFM20 : Indicateur feux de for�t nbj sup � 20
#     NORIFM40 : Indicateur feux de for�t nbj sup � 40
#     NORIFM60 : Indicateur feux de for�t nbj sup � 60
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORIFM;NORIFM20;NORIFM40;NORIFM60;
1998;42.2667;9.2583;A1B;H1;6.46;26.3;0.9;0;
1999;42.2604;9.3546;A1B;H1;6.71;28.4;1.65;0;
2000;42.2539;9.4509;A1B;H1;9.14;51.2;3.75;0;
2061;42.5616;1.5106;A1B;H1;3.91;11.15;1.2;0.35;
2062;42.5623;1.6078;A1B;H1;3.64;5.1;0.4;0.1;
2063;42.5629;1.7049;A1B;H1;3.62;3.9;0.35;0.05;
2064;42.5634;1.8021;A1B;H1;4.14;7.45;0.8;0.2;
2065;42.5639;1.8993;A1B;H1;4.24;3.2;0.35;0.05;
2066;42.5642;1.9965;A1B;H1;4.09;4.95;0.65;0.2;
2067;42.5645;2.0936;A1B;H1;4.63;13.7;1.35;0.35;
2068;42.5647;2.1908;A1B;H1;4.93;11.45;0.9;0.05;
2069;42.5648;2.288;A1B;H1;5.14;11.7;0.6;0;
2070;42.5648;2.3852;A1B;H1;7.16;25.6;3.6;0.75;
2071;42.5647;2.4823;A1B;H1;5.82;17.45;1.15;0;
2072;42.5645;2.5795;A1B;H1;7.04;25.6;2.3;0.15;
2073;42.5642;2.6767;A1B;H1;10.45;55;10;2.7;
2074;42.5639;2.7739;A1B;H1;13.53;83.85;17.1;5.7;
2075;42.5634;2.8711;A1B;H1;22.59;160.65;59.3;23.3;
2076;42.5629;2.9682;A1B;H1;24.25;170.4;68.1;28.7;
2135;42.3746;8.6879;A1B;H1;12.42;74.35;20.4;6.75;
2136;42.3688;8.7844;A1B;H1;6.39;27.5;2.2;0.1;
2137;42.3629;8.8809;A1B;H1;4.35;11.55;0.15;0;
2138;42.3568;8.9774;A1B;H1;4.34;12.65;0;0;
2139;42.3507;9.0739;A1B;H1;5.16;18.45;1.6;0;
2140;42.3446;9.1704;A1B;H1;6.97;29.25;2.35;0;
2141;42.3383;9.2668;A1B;H1;5.14;16.3;0.35;0;
2142;42.3319;9.3632;A1B;H1;5.89;21.45;0.7;0;
2143;42.3254;9.4596;A1B;H1;8.54;46.7;2.6;0;
2203;42.6326;1.4123;A1B;H1;2.89;1.9;0;0;
2204;42.6334;1.5096;A1B;H1;3.9;7.25;0.55;0;
2205;42.6341;1.6069;A1B;H1;2.86;1.85;0.2;0;
2206;42.6347;1.7042;A1B;H1;2.78;1.9;0.2;0;
2207;42.6353;1.8014;A1B;H1;2.79;3.5;0.2;0;
2208;42.6357;1.8987;A1B;H1;2.71;2.1;0.2;0;
2209;42.6361;1.996;A1B;H1;2.78;2;0.2;0;
2210;42.6363;2.0933;A1B;H1;4.82;14.85;1.85;0.8;
2211;42.6365;2.1906;A1B;H1;3.11;3;0.55;0.2;
2212;42.6366;2.2879;A1B;H1;5.31;14.55;0.7;0;
2213;42.6366;2.3852;A1B;H1;6.96;24.2;2.65;0.55;
2214;42.6365;2.4825;A1B;H1;10.1;51.15;8.8;2.35;
2215;42.6363;2.5798;A1B;H1;12;67.5;14.25;4.65;
2216;42.6361;2.6771;A1B;H1;12.86;76.15;15.75;5.35;
2217;42.6357;2.7744;A1B;H1;23.14;166.65;59.8;22.35;
2218;42.6353;2.8717;A1B;H1;24.73;177.6;67.95;25.9;
2219;42.6347;2.969;A1B;H1;24.69;172.9;69.9;29.65;
2278;42.4462;8.6957;A1B;H1;12.92;78.9;21.15;7.5;
2279;42.4404;8.7924;A1B;H1;9.02;47.4;8.35;0.6;
2280;42.4344;8.889;A1B;H1;4.29;12.4;0;0;
2281;42.4284;8.9856;A1B;H1;4.53;13.85;0.15;0;
2282;42.4223;9.0822;A1B;H1;5.25;18.9;1.75;0;
2283;42.4161;9.1788;A1B;H1;8.83;45.45;3.5;0;
2284;42.4098;9.2753;A1B;H1;5.78;20.55;0.6;0;
2285;42.4034;9.3719;A1B;H1;7.33;34.1;1.95;0;
2286;42.397;9.4684;A1B;H1;9.49;54.8;3.6;0;
2336;42.6915;0.4373;A1B;H1;2.74;3.25;0;0;
2337;42.6932;0.5346;A1B;H1;2.33;1.55;0;0;
2338;42.6948;0.632;A1B;H1;1.85;1.5;0;0;
2346;42.7044;1.4111;A1B;H1;3.02;6.35;0.4;0;
2347;42.7052;1.5086;A1B;H1;3.07;7;0.6;0;
2348;42.706;1.606;A1B;H1;2.78;3.1;0.3;0;
2349;42.7066;1.7034;A1B;H1;2.91;3.75;0.35;0.05;
2350;42.7071;1.8008;A1B;H1;3.4;6.4;0.5;0.1;
2351;42.7076;1.8982;A1B;H1;3.15;5.15;0.4;0.05;
2352;42.7079;1.9956;A1B;H1;2.8;3.45;0.3;0;
2353;42.7082;2.093;A1B;H1;4.2;10.15;0.35;0.05;
2354;42.7084;2.1905;A1B;H1;3.54;6.45;0.35;0.05;
2355;42.7085;2.2879;A1B;H1;3.98;11.65;0.6;0;
2356;42.7085;2.3853;A1B;H1;6.19;22.85;0.55;0;
2357;42.7084;2.4827;A1B;H1;11.06;73.6;11.3;1.45;
2358;42.7082;2.5801;A1B;H1;13.22;92.35;17.85;4.4;
2359;42.7079;2.6775;A1B;H1;15.33;109.75;25.2;7.1;
2360;42.7076;2.775;A1B;H1;22.75;164;57.8;21.55;
2361;42.7071;2.8724;A1B;H1;25.24;181.1;70.4;27.6;
2362;42.7066;2.9698;A1B;H1;26.37;186.95;75.45;31.1;
2421;42.5178;8.7036;A1B;H1;13.08;81.35;21.05;7.2;
2422;42.512;8.8003;A1B;H1;12.91;83.55;19.05;4.45;
2423;42.506;8.8971;A1B;H1;7;30.6;3.05;0;
2424;42.5;8.9938;A1B;H1;5.58;20.75;2.4;0;
2425;42.4939;9.0905;A1B;H1;6.93;31.35;3.05;0;
2426;42.4877;9.1872;A1B;H1;7.54;34.75;3.05;0;
2427;42.4814;9.2839;A1B;H1;8.52;42.7;3.3;0;
2428;42.475;9.3805;A1B;H1;8.1;42.7;2.2;0;
2429;42.4685;9.4772;A1B;H1;10.39;62.6;4.45;0.3;
2474;42.7535;-0.0524;A1B;H1;2.01;1.1;0.05;0;
2475;42.7557;0.045;A1B;H1;1.96;1.2;0.1;0;
2476;42.7577;0.1425;A1B;H1;2.18;1.15;0.05;0;
2477;42.7597;0.24;A1B;H1;2.34;3.15;0.1;0;
2478;42.7616;0.3374;A1B;H1;1.98;1.4;0;0;
2479;42.7634;0.4349;A1B;H1;2.34;3.1;0;0;
2480;42.765;0.5324;A1B;H1;2.27;3.05;0.1;0;
2481;42.7667;0.6299;A1B;H1;2.66;5.5;0.35;0.05;
2484;42.7709;0.9224;A1B;H1;2.12;0.95;0;0;
2486;42.7733;1.1174;A1B;H1;2.22;3.75;0.35;0;
2487;42.7744;1.2149;A1B;H1;2.52;4.95;0.4;0;
2488;42.7754;1.3125;A1B;H1;2.55;5.1;0.35;0;
2489;42.7763;1.41;A1B;H1;2.28;3.85;0.25;0;
2490;42.7771;1.5075;A1B;H1;3.57;9.05;1;0.05;
2491;42.7778;1.6051;A1B;H1;3.46;6.45;0.35;0.05;
2492;42.7784;1.7026;A1B;H1;3.53;7.1;0.3;0;
2493;42.779;1.8001;A1B;H1;3.09;4.9;0.35;0.05;
2494;42.7794;1.8977;A1B;H1;3.11;4.95;0.35;0.05;
2495;42.7798;1.9952;A1B;H1;3.64;7.55;0.4;0.05;
2496;42.78;2.0927;A1B;H1;4.07;9.9;0.8;0.2;
2497;42.7802;2.1903;A1B;H1;4.76;16.7;0.3;0;
2498;42.7803;2.2878;A1B;H1;4.81;16.8;0.6;0;
2499;42.7803;2.3854;A1B;H1;10.92;72.4;10.8;1.4;
2500;42.7802;2.4829;A1B;H1;13.16;91.85;17.7;4.2;
2501;42.78;2.5804;A1B;H1;14.53;103.9;21.7;6.2;
2502;42.7798;2.678;A1B;H1;16.12;115.75;28.6;8.6;
2503;42.7794;2.7755;A1B;H1;20.36;147.6;44.95;16.7;
2504;42.779;2.873;A1B;H1;25.6;182.55;72.2;28.9;
2505;42.7784;2.9706;A1B;H1;26.64;185.25;75.35;36.2;
2565;42.5835;8.8083;A1B;H1;13.06;86.1;19.05;4.3;
2566;42.5776;8.9052;A1B;H1;12.71;80.55;19.65;5;
2567;42.5716;9.002;A1B;H1;10.59;61.8;13.55;2.85;
2568;42.5654;9.0989;A1B;H1;11.06;65.5;15.25;3.5;
2569;42.5592;9.1957;A1B;H1;6.9;29.9;3;0;
2570;42.5529;9.2925;A1B;H1;8.71;44.75;9;1.7;
2571;42.5465;9.3892;A1B;H1;8.91;49.05;3.15;0;
2572;42.54;9.486;A1B;H1;10.64;64.65;5.45;0.3;
2612;42.8133;-0.5431;A1B;H1;2.09;2.25;0.1;0;
2613;42.8159;-0.4456;A1B;H1;2.06;1.7;0;0;
2614;42.8184;-0.3481;A1B;H1;2.08;1.15;0.15;0;
2615;42.8208;-0.2505;A1B;H1;2.56;1.75;0.15;0;
2616;42.8231;-0.1529;A1B;H1;2.1;1.15;0.1;0;
2617;42.8254;-0.0554;A1B;H1;2.09;1.15;0.1;0;
2618;42.8275;0.0422;A1B;H1;2.42;3.75;0.05;0;
2619;42.8296;0.1398;A1B;H1;2.91;4;0.25;0;
2620;42.8315;0.2374;A1B;H1;2.47;3.15;0.1;0;
2621;42.8334;0.335;A1B;H1;3.15;6.6;0.15;0;
2622;42.8352;0.4326;A1B;H1;2.7;4.4;0.1;0;
2623;42.8369;0.5302;A1B;H1;2.2;3.15;0.1;0;
2624;42.8385;0.6278;A1B;H1;2.59;5;0.35;0;
2626;42.8414;0.823;A1B;H1;2.12;2.95;0.1;0;
2627;42.8428;0.9206;A1B;H1;2.3;3.4;0.05;0;
2628;42.844;1.0183;A1B;H1;2.56;5.1;0.3;0;
2629;42.8452;1.1159;A1B;H1;2.44;4.45;0.35;0;
2630;42.8463;1.2136;A1B;H1;3.22;7.65;0.75;0.05;
2631;42.8472;1.3112;A1B;H1;2.78;6;0.5;0;
2632;42.8481;1.4088;A1B;H1;2.45;4.45;0.35;0;
2633;42.8489;1.5065;A1B;H1;3.74;9.55;0.85;0.05;
2634;42.8497;1.6041;A1B;H1;4.17;12.1;0.85;0;
2635;42.8503;1.7018;A1B;H1;3.21;5.4;0.45;0.1;
2636;42.8508;1.7995;A1B;H1;3.36;6.4;0.5;0.15;
2637;42.8513;1.8971;A1B;H1;3.56;6.75;0.35;0;
2638;42.8516;1.9948;A1B;H1;4.42;14.65;0.3;0;
2639;42.8519;2.0924;A1B;H1;4.57;15.8;0.3;0;
2640;42.8521;2.1901;A1B;H1;6.18;30.35;2.85;0.3;
2641;42.8522;2.2877;A1B;H1;5.43;21.45;1.5;0;
2642;42.8522;2.3854;A1B;H1;6.53;33.05;2.55;0.05;
2643;42.8521;2.4831;A1B;H1;7.74;44.5;5.85;0.45;
