#-----------------------------------------------------------------------------
# Date d'extraction : 31/08/2021 - 08h09 loc.
#-----------------------------------------------------------------------------
# Producteur : DSM
# Experience : IFM2009
# Modele     : ARPEGE_V4_CNRM (SST_CNRM)
# Scenario :
#     REF : r�f�rence
#-----------------------------------------------------------------------------
# Horizons :
#     REF : R�f�rence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORIFM : Indicateur feux de for�t
#     NORIFM20 : Indicateur feux de for�t nbj sup � 20
#     NORIFM40 : Indicateur feux de for�t nbj sup � 40
#     NORIFM60 : Indicateur feux de for�t nbj sup � 60
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORIFM;NORIFM20;NORIFM40;NORIFM60;
2422;42.512;8.8003;REF;REF;12.82;89.15;18.45;4.9;
2423;42.506;8.8971;REF;REF;7.32;44.9;2.4;0.15;
2424;42.5;8.9938;REF;REF;7.31;46.75;4.9;0.25;
2425;42.4939;9.0905;REF;REF;8.88;62.2;6;0.3;
2426;42.4877;9.1872;REF;REF;9.47;66.2;6.85;0.5;
2427;42.4814;9.2839;REF;REF;10.65;76.05;9.05;0.5;
2428;42.475;9.3805;REF;REF;8.83;60.15;3.05;0.3;
2429;42.4685;9.4772;REF;REF;10.65;74.8;5.65;1.05;
2474;42.7535;-0.0524;REF;REF;2.07;0.4;0;0;
2475;42.7557;0.045;REF;REF;2;0.45;0;0;
2476;42.7577;0.1425;REF;REF;2.23;0.5;0;0;
2477;42.7597;0.24;REF;REF;2;0.45;0;0;
2478;42.7616;0.3374;REF;REF;2;0.5;0;0;
2479;42.7634;0.4349;REF;REF;2.75;1.45;0.05;0;
2480;42.765;0.5324;REF;REF;2.67;1.85;0.05;0;
2481;42.7667;0.6299;REF;REF;3.38;4.95;0.05;0;
2484;42.7709;0.9224;REF;REF;1.82;0.05;0;0;
2486;42.7733;1.1174;REF;REF;1.81;0.25;0;0;
2487;42.7744;1.2149;REF;REF;2.4;1.35;0;0;
2488;42.7754;1.3125;REF;REF;2.45;1.45;0;0;
2489;42.7763;1.41;REF;REF;2.01;0.8;0;0;
2490;42.7771;1.5075;REF;REF;3.5;6.2;0.05;0;
2491;42.7778;1.6051;REF;REF;3.56;5.1;0;0;
2492;42.7784;1.7026;REF;REF;3.54;4.9;0;0;
