years,ssp119,ssp126,ssp585
1929.0,4574596.675961914,4574596.675961914,4574596.675961914
1930.0,4210789.527689573,4210789.527689573,4210789.527689573
1931.0,3790383.6027257196,3790383.6027257196,3790383.6027257196
1932.0,3436027.6394109745,3436027.6394109745,3436027.6394109745
1933.0,3624020.23532674,3624020.23532674,3624020.23532674
1934.0,3941576.8480027793,3941576.8480027793,3941576.8480027793
1935.0,4140467.0458870316,4140467.0458870316,4140467.0458870316
1936.0,4541534.284023351,4541534.284023351,4541534.284023351
1937.0,4845996.451848648,4845996.451848648,4845996.451848648
1938.0,4551219.257809774,4551219.257809774,4551219.257809774
1939.0,4814509.783214007,4814509.783214007,4814509.783214007
1940.0,5318812.819988973,5318812.819988973,5318812.819988973
1941.0,5439975.813218172,5439975.813218172,5439975.813218172
1942.0,5430056.445217594,5430056.445217594,5430056.445217594
1943.0,5643907.684764672,5643907.684764672,5643907.684764672
1944.0,5565480.872718791,5565480.872718791,5565480.872718791
1945.0,4717412.852096874,4717412.852096874,4717412.852096874
1946.0,5002315.25470219,5002315.25470219,5002315.25470219
1947.0,5576558.754156722,5576558.754156722,5576558.754156722
1948.0,5880508.477733154,5880508.477733154,5880508.477733154
1949.0,5743453.6241582595,5743453.6241582595,5743453.6241582595
1950.0,6271388.526972704,6271388.526972704,6271388.526972704
1951.0,6731098.323316225,6731098.323316225,6731098.323316225
1952.0,6856933.793393119,6856933.793393119,6856933.793393119
1953.0,7004132.373529738,7004132.373529738,7004132.373529738
1954.0,7183083.520146237,7183083.520146237,7183083.520146237
1955.0,7826446.137709919,7826446.137709919,7826446.137709919
1956.0,8316455.6971997665,8316455.6971997665,8316455.6971997665
1957.0,8567465.034561189,8567465.034561189,8567465.034561189
1958.0,8875590.389423206,8875590.389423206,8875590.389423206
1959.0,9278978.843795322,9278978.843795322,9278978.843795322
1960.0,9865159.534056794,9865159.534056794,9865159.534056794
1961.0,9893585.751152376,9893585.751152376,9893585.751152376
1962.0,10266387.146079803,10266387.146079803,10266387.146079803
1963.0,10838904.307003317,10838904.307003317,10838904.307003317
1964.0,11363375.74561273,11363375.74561273,11363375.74561273
1965.0,11855612.325955551,11855612.325955551,11855612.325955551
1966.0,12371659.371164702,12371659.371164702,12371659.371164702
1967.0,12749093.883415557,12749093.883415557,12749093.883415557
1968.0,13448297.762851171,13448297.762851171,13448297.762851171
1969.0,14162712.39218447,14162712.39218447,14162712.39218447
1970.0,15186284.231812822,15186284.231812822,15186284.231812822
1971.0,15674175.921944268,15674175.921944268,15674175.921944268
1972.0,16404900.492874574,16404900.492874574,16404900.492874574
1973.0,17392680.945554134,17392680.945554134,17392680.945554134
1974.0,17311215.54848077,17311215.54848077,17311215.54848077
1975.0,17214880.19255841,17214880.19255841,17214880.19255841
1976.0,18161623.610391498,18161623.610391498,18161623.610391498
1977.0,18684267.67169877,18684267.67169877,18684267.67169877
1978.0,19749003.72542827,19749003.72542827,19749003.72542827
1979.0,20257915.385356616,20257915.385356616,20257915.385356616
1980.0,20051601.607700888,20051601.607700888,20051601.607700888
1981.0,19675435.89607481,19675435.89607481,19675435.89607481
1982.0,19444822.623302225,19444822.623302225,19444822.623302225
1983.0,19546254.376379166,19546254.376379166,19546254.376379166
1984.0,20090520.58302528,20090520.58302528,20090520.58302528
1985.0,20373985.644701842,20373985.644701842,20373985.644701842
