#-----------------------------------------------------------------------------
# Date d'extraction : 01/09/2021 - 16h09 loc.
#-----------------------------------------------------------------------------
# Producteur : DCLIM
# Experience : CLIMSEC
# Modele     : ARPEGE_RETIC
# Scenario :
#     B1 : scenario optimiste
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORSPI : Indicateur s�cheresse m�t�orologique
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORSPI;
2779;42.9227;1.7988;B1;H1;-0.44;
2780;42.9231;1.8966;B1;H1;-0.44;
2781;42.9235;1.9943;B1;H1;-0.46;
2782;42.9237;2.0921;B1;H1;-0.46;
2783;42.9239;2.1899;B1;H1;-0.47;
2784;42.924;2.2877;B1;H1;-0.46;
2785;42.924;2.3855;B1;H1;-0.46;
2786;42.9239;2.4833;B1;H1;-0.67;
2787;42.9237;2.581;B1;H1;-0.67;
2788;42.9235;2.6788;B1;H1;-0.67;
2789;42.9231;2.7766;B1;H1;-0.95;
2790;42.9227;2.8744;B1;H1;-0.94;
2791;42.9221;2.9722;B1;H1;-0.96;
2854;42.7086;9.1156;B1;H1;-0.14;
2855;42.7023;9.2127;B1;H1;-0.17;
2856;42.696;9.3097;B1;H1;-0.17;
2857;42.6896;9.4067;B1;H1;-0.17;
2895;42.9486;-0.8436;B1;H1;-0.49;
2896;42.9515;-0.7458;B1;H1;-0.49;
2897;42.9543;-0.6481;B1;H1;-0.38;
2898;42.9569;-0.5503;B1;H1;-0.37;
2899;42.9595;-0.4525;B1;H1;-0.37;
2900;42.962;-0.3547;B1;H1;-0.38;
2901;42.9645;-0.2569;B1;H1;-0.22;
2902;42.9668;-0.1591;B1;H1;-0.22;
2903;42.969;-0.0613;B1;H1;-0.22;
2904;42.9712;0.0365;B1;H1;-0.21;
2905;42.9732;0.1343;B1;H1;-0.21;
2906;42.9752;0.2321;B1;H1;-0.22;
2907;42.9771;0.33;B1;H1;-0.42;
2908;42.9789;0.4278;B1;H1;-0.25;
2909;42.9806;0.5257;B1;H1;-0.26;
2910;42.9822;0.6235;B1;H1;-0.26;
2911;42.9837;0.7214;B1;H1;-0.32;
2912;42.9851;0.8192;B1;H1;-0.3;
2913;42.9865;0.9171;B1;H1;-0.29;
2914;42.9877;1.015;B1;H1;-0.43;
2915;42.9889;1.1129;B1;H1;-0.43;
2916;42.99;1.2108;B1;H1;-0.43;
2917;42.9909;1.3086;B1;H1;-0.43;
2918;42.9918;1.4065;B1;H1;-0.43;
2919;42.9927;1.5044;B1;H1;-0.33;
2920;42.9934;1.6023;B1;H1;-0.33;
2921;42.994;1.7002;B1;H1;-0.33;
2922;42.9945;1.7981;B1;H1;-0.45;
2923;42.995;1.896;B1;H1;-0.45;
2924;42.9953;1.9939;B1;H1;-0.46;
2925;42.9956;2.0918;B1;H1;-0.46;
2926;42.9958;2.1897;B1;H1;-0.47;
