#-----------------------------------------------------------------------------
# Date d'extraction : 01/09/2021 - 16h06 loc.
#-----------------------------------------------------------------------------
# Producteur : DCLIM
# Experience : CLIMSEC
# Modele     : ARPEGE_RETIC
# Scenario :
#     A2 : scenario pessimiste
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORSPI : Indicateur s�cheresse m�t�orologique
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORSPI;
2614;42.8184;-0.3481;A2;H1;-0.62;
2615;42.8208;-0.2505;A2;H1;-0.55;
2616;42.8231;-0.1529;A2;H1;-0.55;
2617;42.8254;-0.0554;A2;H1;-0.55;
2618;42.8275;0.0422;A2;H1;-0.73;
2619;42.8296;0.1398;A2;H1;-0.71;
2620;42.8315;0.2374;A2;H1;-0.73;
2621;42.8334;0.335;A2;H1;-0.47;
2622;42.8352;0.4326;A2;H1;-0.5;
2623;42.8369;0.5302;A2;H1;-0.81;
2624;42.8385;0.6278;A2;H1;-0.82;
2626;42.8414;0.823;A2;H1;-0.81;
2627;42.8428;0.9206;A2;H1;-0.8;
2628;42.844;1.0183;A2;H1;-0.8;
2629;42.8452;1.1159;A2;H1;-0.8;
2630;42.8463;1.2136;A2;H1;-0.8;
2631;42.8472;1.3112;A2;H1;-0.8;
2632;42.8481;1.4088;A2;H1;-0.8;
2633;42.8489;1.5065;A2;H1;-0.5;
2634;42.8497;1.6041;A2;H1;-0.51;
2635;42.8503;1.7018;A2;H1;-0.5;
2636;42.8508;1.7995;A2;H1;-0.5;
2637;42.8513;1.8971;A2;H1;-0.51;
2638;42.8516;1.9948;A2;H1;-0.68;
2639;42.8519;2.0924;A2;H1;-0.68;
2640;42.8521;2.1901;A2;H1;-0.69;
2641;42.8522;2.2877;A2;H1;-0.69;
2642;42.8522;2.3854;A2;H1;-0.87;
2643;42.8521;2.4831;A2;H1;-0.85;
2644;42.8519;2.5807;A2;H1;-0.89;
2645;42.8516;2.6784;A2;H1;-0.83;
2646;42.8513;2.776;A2;H1;-0.55;
2647;42.8508;2.8737;A2;H1;-0.54;
2648;42.8503;2.9714;A2;H1;-0.52;
2711;42.637;9.1072;A2;H1;-0.24;
