Point;Latitude;Longitude;Contexte;P�riode;NORSPI;
2491;42.7778;1.6051;A1B;H1;-0.49;
2492;42.7784;1.7026;A1B;H1;-0.5;
2493;42.779;1.8001;A1B;H1;-0.49;
2494;42.7794;1.8977;A1B;H1;-0.49;
2495;42.7798;1.9952;A1B;H1;-0.51;
2496;42.78;2.0927;A1B;H1;-0.52;
2497;42.7802;2.1903;A1B;H1;-0.53;
2498;42.7803;2.2878;A1B;H1;-0.53;
2499;42.7803;2.3854;A1B;H1;-0.2;
2500;42.7802;2.4829;A1B;H1;-0.19;
2501;42.78;2.5804;A1B;H1;-0.19;
2502;42.7798;2.678;A1B;H1;-0.2;
2503;42.7794;2.7755;A1B;H1;-0.22;
2504;42.779;2.873;A1B;H1;-0.21;
2505;42.7784;2.9706;A1B;H1;-0.21;
2565;42.5835;8.8083;A1B;H1;-0.2;
2566;42.5776;8.9052;A1B;H1;-0.2;
2567;42.5716;9.002;A1B;H1;-0.2;
2568;42.5654;9.0989;A1B;H1;-0.2;
2569;42.5592;9.1957;A1B;H1;-0.19;
2570;42.5529;9.2925;A1B;H1;-0.36;
2571;42.5465;9.3892;A1B;H1;-0.54;
2572;42.54;9.486;A1B;H1;-0.54;
2612;42.8133;-0.5431;A1B;H1;-0.65;
2613;42.8159;-0.4456;A1B;H1;-0.64;
2614;42.8184;-0.3481;A1B;H1;-0.63;
2615;42.8208;-0.2505;A1B;H1;-0.59;
2616;42.8231;-0.1529;A1B;H1;-0.56;
2617;42.8254;-0.0554;A1B;H1;-0.56;
2618;42.8275;0.0422;A1B;H1;-0.47;
2619;42.8296;0.1398;A1B;H1;-0.47;
2620;42.8315;0.2374;A1B;H1;-0.47;
2621;42.8334;0.335;A1B;H1;-0.34;
2622;42.8352;0.4326;A1B;H1;-0.36;
2623;42.8369;0.5302;A1B;H1;-0.49;
2624;42.8385;0.6278;A1B;H1;-0.5;
2626;42.8414;0.823;A1B;H1;-0.49;
2627;42.8428;0.9206;A1B;H1;-0.54;
2628;42.844;1.0183;A1B;H1;-0.54;
2629;42.8452;1.1159;A1B;H1;-0.54;
2630;42.8463;1.2136;A1B;H1;-0.55;
2631;42.8472;1.3112;A1B;H1;-0.55;
2632;42.8481;1.4088;A1B;H1;-0.54;
2633;42.8489;1.5065;A1B;H1;-0.49;
2634;42.8497;1.6041;A1B;H1;-0.5;
2635;42.8503;1.7018;A1B;H1;-0.49;
2636;42.8508;1.7995;A1B;H1;-0.49;
2637;42.8513;1.8971;A1B;H1;-0.5;
2638;42.8516;1.9948;A1B;H1;-0.53;
2639;42.8519;2.0924;A1B;H1;-0.53;
2640;42.8521;2.1901;A1B;H1;-0.54;
2641;42.8522;2.2877;A1B;H1;-0.54;
2642;42.8522;2.3854;A1B;H1;-0.55;
2643;42.8521;2.4831;A1B;H1;-0.55;
2644;42.8519;2.5807;A1B;H1;-0.55;
2645;42.8516;2.6784;A1B;H1;-0.55;
2646;42.8513;2.776;A1B;H1;-0.23;
2647;42.8508;2.8737;A1B;H1;-0.22;
2648;42.8503;2.9714;A1B;H1;-0.21;
2711;42.637;9.1072;A1B;H1;-0.2;
2712;42.6308;9.2042;A1B;H1;-0.36;
2713;42.6245;9.3011;A1B;H1;-0.36;
2714;42.6181;9.398;A1B;H1;-0.63;
2754;42.8824;-0.6444;A1B;H1;-0.62;
2755;42.8851;-0.5467;A1B;H1;-0.62;
2756;42.8877;-0.4491;A1B;H1;-0.63;
2757;42.8902;-0.3514;A1B;H1;-0.64;
2758;42.8926;-0.2537;A1B;H1;-0.56;
2759;42.895;-0.156;A1B;H1;-0.47;
2760;42.8972;-0.0584;A1B;H1;-0.49;
2761;42.8993;0.0393;A1B;H1;-0.47;
2762;42.9014;0.137;A1B;H1;-0.47;
2763;42.9034;0.2348;A1B;H1;-0.47;
2764;42.9052;0.3325;A1B;H1;-0.34;
2765;42.907;0.4302;A1B;H1;-0.36;
2766;42.9087;0.5279;A1B;H1;-0.34;
2767;42.9103;0.6257;A1B;H1;-0.55;
2768;42.9118;0.7234;A1B;H1;-0.5;
2769;42.9133;0.8211;A1B;H1;-0.5;
2770;42.9146;0.9189;A1B;H1;-0.55;
2771;42.9159;1.0166;A1B;H1;-0.55;
2772;42.917;1.1144;A1B;H1;-0.55;
2773;42.9181;1.2122;A1B;H1;-0.55;
2774;42.9191;1.3099;A1B;H1;-0.55;
2775;42.92;1.4077;A1B;H1;-0.55;
2776;42.9208;1.5055;A1B;H1;-0.52;
2777;42.9215;1.6032;A1B;H1;-0.52;
2778;42.9221;1.701;A1B;H1;-0.52;
2779;42.9227;1.7988;A1B;H1;-0.47;
2780;42.9231;1.8966;A1B;H1;-0.47;
2781;42.9235;1.9943;A1B;H1;-0.54;
2782;42.9237;2.0921;A1B;H1;-0.54;
2783;42.9239;2.1899;A1B;H1;-0.54;
2784;42.924;2.2877;A1B;H1;-0.54;
2785;42.924;2.3855;A1B;H1;-0.54;
2786;42.9239;2.4833;A1B;H1;-0.55;
2787;42.9237;2.581;A1B;H1;-0.55;
2788;42.9235;2.6788;A1B;H1;-0.55;
2789;42.9231;2.7766;A1B;H1;-0.5;
2790;42.9227;2.8744;A1B;H1;-0.5;
2791;42.9221;2.9722;A1B;H1;-0.52;
2854;42.7086;9.1156;A1B;H1;-0.2;
2855;42.7023;9.2127;A1B;H1;-0.36;
2856;42.696;9.3097;A1B;H1;-0.36;
2857;42.6896;9.4067;A1B;H1;-0.62;
2895;42.9486;-0.8436;A1B;H1;-0.74;
2896;42.9515;-0.7458;A1B;H1;-0.74;
2897;42.9543;-0.6481;A1B;H1;-0.62;
2898;42.9569;-0.5503;A1B;H1;-0.62;
2899;42.9595;-0.4525;A1B;H1;-0.62;
2900;42.962;-0.3547;A1B;H1;-0.62;
2901;42.9645;-0.2569;A1B;H1;-0.49;
2902;42.9668;-0.1591;A1B;H1;-0.49;
2903;42.969;-0.0613;A1B;H1;-0.49;
2904;42.9712;0.0365;A1B;H1;-0.49;
2905;42.9732;0.1343;A1B;H1;-0.49;
2906;42.9752;0.2321;A1B;H1;-0.49;
2907;42.9771;0.33;A1B;H1;-0.62;
2908;42.9789;0.4278;A1B;H1;-0.43;
2909;42.9806;0.5257;A1B;H1;-0.43;
2910;42.9822;0.6235;A1B;H1;-0.44;
2911;42.9837;0.7214;A1B;H1;-0.54;
2912;42.9851;0.8192;A1B;H1;-0.51;
2913;42.9865;0.9171;A1B;H1;-0.51;
2914;42.9877;1.015;A1B;H1;-0.59;
2915;42.9889;1.1129;A1B;H1;-0.59;
2916;42.99;1.2108;A1B;H1;-0.59;
2917;42.9909;1.3086;A1B;H1;-0.59;
2918;42.9918;1.4065;A1B;H1;-0.59;
2919;42.9927;1.5044;A1B;H1;-0.52;
2920;42.9934;1.6023;A1B;H1;-0.52;
2921;42.994;1.7002;A1B;H1;-0.52;
2922;42.9945;1.7981;A1B;H1;-0.47;
2923;42.995;1.896;A1B;H1;-0.47;
2924;42.9953;1.9939;A1B;H1;-0.54;
2925;42.9956;2.0918;A1B;H1;-0.54;
2926;42.9958;2.1897;A1B;H1;-0.54;
2927;42.9959;2.2876;A1B;H1;-0.54;
2928;42.9959;2.3855;A1B;H1;-0.54;
2929;42.9958;2.4834;A1B;H1;-0.55;
